Instace Name,AUC,STD
ROC_HSVM_CROS_PUBFIG_DEV_LFW_005_050_10,0.909000,0.015133
ROC_HSVM_CROS_PUBFIG_DEV_LFW_005_100_10,0.910000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_005_300_10,0.893000,0.016155
ROC_HSVM_CROS_PUBFIG_DEV_LFW_005_500_10,0.875000,0.016882
ROC_HSVM_CROS_PUBFIG_DEV_LFW_010_050_10,0.915000,0.016279
ROC_HSVM_CROS_PUBFIG_DEV_LFW_010_100_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_010_300_10,0.910000,0.015492
ROC_HSVM_CROS_PUBFIG_DEV_LFW_010_500_10,0.887000,0.016763
ROC_HSVM_CROS_PUBFIG_DEV_LFW_020_050_10,0.918000,0.016613
ROC_HSVM_CROS_PUBFIG_DEV_LFW_020_100_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_020_300_10,0.913000,0.015524
ROC_HSVM_CROS_PUBFIG_DEV_LFW_020_500_10,0.897000,0.014177
ROC_HSVM_CROS_PUBFIG_DEV_LFW_030_050_10,0.918000,0.016613
ROC_HSVM_CROS_PUBFIG_DEV_LFW_030_100_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_030_300_10,0.914000,0.015620
ROC_HSVM_CROS_PUBFIG_DEV_LFW_030_500_10,0.902000,0.014000
ROC_HSVM_CROS_PUBFIG_DEV_LFW_050_050_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_050_100_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_050_300_10,0.916000,0.013565
ROC_HSVM_CROS_PUBFIG_DEV_LFW_050_500_10,0.903000,0.015524
ROC_HSVM_CROS_PUBFIG_DEV_LFW_070_050_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_070_100_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_070_300_10,0.918000,0.013266
ROC_HSVM_CROS_PUBFIG_DEV_LFW_070_500_10,0.905000,0.014318
ROC_HSVM_CROS_PUBFIG_DEV_LFW_100_050_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_100_100_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_100_300_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_100_500_10,0.905000,0.014318
ROC_HSVM_CROS_PUBFIG_DEV_LFW_300_050_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_300_100_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_300_300_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_300_500_10,0.906000,0.013565
ROC_HSVM_CROS_PUBFIG_DEV_LFW_500_050_10,0.920000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_LFW_500_100_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_LFW_500_300_10,0.921000,0.014457
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_005_050_10,0.924000,0.017436
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_005_100_10,0.929000,0.017578
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_005_300_10,0.929000,0.018138
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_010_050_10,0.925000,0.016882
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_010_100_10,0.932000,0.016000
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_010_300_10,0.933000,0.015524
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_020_050_10,0.929000,0.013748
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_020_100_10,0.935000,0.014318
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_020_300_10,0.939000,0.015133
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_030_050_10,0.930000,0.014142
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_030_100_10,0.936000,0.014283
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_030_300_10,0.940000,0.016733
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_050_050_10,0.932000,0.014697
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_050_100_10,0.936000,0.014283
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_050_300_10,0.941000,0.016401
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_070_050_10,0.932000,0.016000
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_070_100_10,0.936000,0.014283
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_070_300_10,0.942000,0.015362
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_100_050_10,0.933000,0.015524
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_100_100_10,0.936000,0.014283
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_100_300_10,0.941000,0.016401
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_300_050_10,0.931000,0.015780
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_300_100_10,0.937000,0.012689
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_300_300_10,0.941000,0.016401
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_500_050_10,0.933000,0.015524
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_500_100_10,0.936000,0.014283
ROC_HSVM_CROS_PUBFIG_DEV_PUBFIG_EVAL_500_300_10,0.943000,0.016155
ROC_HSVM_SAME_LFW_005_050_10,0.942000,0.011662
ROC_HSVM_SAME_LFW_005_100_10,0.949000,0.009434
ROC_HSVM_SAME_LFW_005_300_10,0.953000,0.009000
ROC_HSVM_SAME_LFW_005_500_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_010_050_10,0.946000,0.010198
ROC_HSVM_SAME_LFW_010_100_10,0.952000,0.009798
ROC_HSVM_SAME_LFW_010_300_10,0.961000,0.007000
ROC_HSVM_SAME_LFW_010_500_10,0.956000,0.008000
ROC_HSVM_SAME_LFW_020_050_10,0.950000,0.011832
ROC_HSVM_SAME_LFW_020_100_10,0.954000,0.010198
ROC_HSVM_SAME_LFW_020_300_10,0.961000,0.007000
ROC_HSVM_SAME_LFW_020_500_10,0.959000,0.007000
ROC_HSVM_SAME_LFW_030_050_10,0.950000,0.010954
ROC_HSVM_SAME_LFW_030_100_10,0.955000,0.011180
ROC_HSVM_SAME_LFW_030_300_10,0.962000,0.007483
ROC_HSVM_SAME_LFW_030_500_10,0.959000,0.008307
ROC_HSVM_SAME_LFW_050_050_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_050_100_10,0.955000,0.009220
ROC_HSVM_SAME_LFW_050_300_10,0.963000,0.009000
ROC_HSVM_SAME_LFW_050_500_10,0.962000,0.008718
ROC_HSVM_SAME_LFW_070_050_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_070_100_10,0.956000,0.010198
ROC_HSVM_SAME_LFW_070_300_10,0.963000,0.009000
ROC_HSVM_SAME_LFW_070_500_10,0.962000,0.008718
ROC_HSVM_SAME_LFW_100_050_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_100_100_10,0.956000,0.010198
ROC_HSVM_SAME_LFW_100_300_10,0.963000,0.009000
ROC_HSVM_SAME_LFW_100_500_10,0.962000,0.008718
ROC_HSVM_SAME_LFW_300_050_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_300_100_10,0.956000,0.010198
ROC_HSVM_SAME_LFW_300_300_10,0.963000,0.009000
ROC_HSVM_SAME_LFW_300_500_10,0.962000,0.008718
ROC_HSVM_SAME_LFW_500_050_10,0.951000,0.010440
ROC_HSVM_SAME_LFW_500_100_10,0.956000,0.010198
ROC_HSVM_SAME_PUBFIG_EVAL_005_050_10,0.920000,0.014832
ROC_HSVM_SAME_PUBFIG_EVAL_005_100_10,0.924000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_005_300_10,0.924000,0.015620
ROC_HSVM_SAME_PUBFIG_EVAL_005_500_10,0.912000,0.014697
ROC_HSVM_SAME_PUBFIG_EVAL_010_050_10,0.927000,0.014866
ROC_HSVM_SAME_PUBFIG_EVAL_010_100_10,0.931000,0.015780
ROC_HSVM_SAME_PUBFIG_EVAL_010_300_10,0.931000,0.015780
ROC_HSVM_SAME_PUBFIG_EVAL_010_500_10,0.920000,0.017321
ROC_HSVM_SAME_PUBFIG_EVAL_020_050_10,0.929000,0.014457
ROC_HSVM_SAME_PUBFIG_EVAL_020_100_10,0.934000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_020_300_10,0.934000,0.014967
ROC_HSVM_SAME_PUBFIG_EVAL_020_500_10,0.924000,0.014283
ROC_HSVM_SAME_PUBFIG_EVAL_030_050_10,0.929000,0.014457
ROC_HSVM_SAME_PUBFIG_EVAL_030_100_10,0.934000,0.014967
ROC_HSVM_SAME_PUBFIG_EVAL_030_300_10,0.936000,0.014967
ROC_HSVM_SAME_PUBFIG_EVAL_030_500_10,0.925000,0.015000
ROC_HSVM_SAME_PUBFIG_EVAL_050_050_10,0.930000,0.015492
ROC_HSVM_SAME_PUBFIG_EVAL_050_100_10,0.936000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_050_300_10,0.937000,0.014177
ROC_HSVM_SAME_PUBFIG_EVAL_050_500_10,0.926000,0.014967
ROC_HSVM_SAME_PUBFIG_EVAL_070_050_10,0.930000,0.013416
ROC_HSVM_SAME_PUBFIG_EVAL_070_100_10,0.936000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_070_300_10,0.937000,0.014177
ROC_HSVM_SAME_PUBFIG_EVAL_070_500_10,0.926000,0.014967
ROC_HSVM_SAME_PUBFIG_EVAL_100_050_10,0.930000,0.015492
ROC_HSVM_SAME_PUBFIG_EVAL_100_100_10,0.936000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_100_300_10,0.937000,0.014177
ROC_HSVM_SAME_PUBFIG_EVAL_100_500_10,0.927000,0.016155
ROC_HSVM_SAME_PUBFIG_EVAL_300_050_10,0.931000,0.014457
ROC_HSVM_SAME_PUBFIG_EVAL_300_100_10,0.936000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_300_300_10,0.937000,0.014177
ROC_HSVM_SAME_PUBFIG_EVAL_300_500_10,0.928000,0.015362
ROC_HSVM_SAME_PUBFIG_EVAL_500_050_10,0.931000,0.014457
ROC_HSVM_SAME_PUBFIG_EVAL_500_100_10,0.936000,0.012806
ROC_HSVM_SAME_PUBFIG_EVAL_500_300_10,0.937000,0.014177
